Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
01/01/07,00:00:00,2.5506,0.1128,241.3613,10.53,0.0,0.5833,0.0
01/01/07,01:00:00,2.5234,0.0716,241.0965,10.4433,0.0,0.0,0.0
01/01/07,02:00:00,2.5823,0.1067,243.2002,10.54,0.0,0.3333,0.0
01/01/07,03:00:00,2.5417,0.0901,243.2657,10.4,0.0,0.2667,0.0
01/01/07,04:00:00,2.4757,0.0882,242.4562,10.11,0.0,0.0,0.0
01/01/07,05:00:00,2.4762,0.1017,242.3487,10.15,0.0,0.5833,0.0
01/01/07,06:00:00,2.4558,0.0861,241.2218,10.1033,0.0,0.0,0.0
01/01/07,07:00:00,2.4472,0.1069,240.3142,10.12,0.0,0.55,0.0
01/01/07,08:00:00,2.4417,0.0781,241.1432,10.0467,0.0,0.05,0.0
01/01/07,09:00:00,3.1461,0.0676,239.7788,13.0533,0.0,0.0,12.0333
01/01/07,10:00:00,2.6617,0.1103,238.4252,11.1033,0.0,0.5833,2.4833
01/01/07,11:00:00,2.576,0.0712,237.3245,10.7933,0.0,0.0,0.0
01/01/07,12:00:00,2.6159,0.1208,237.758,10.9367,0.0,0.5667,0.0
01/01/07,13:00:00,2.1624,0.0672,238.6695,9.0367,0.0,0.0,0.0
01/01/07,14:00:00,1.2944,0.2412,240.6567,5.61,0.0,0.2333,9.05
01/01/07,15:00:00,1.9092,0.1109,238.9152,7.93,0.0,0.35,17.4833
01/01/07,16:00:00,1.3901,0.1106,239.3875,5.7467,0.0,0.0,17.55
01/01/07,17:00:00,1.6321,0.1295,237.4763,6.8333,0.0,0.5833,17.2833
01/01/07,18:00:00,1.4619,0.0692,238.3363,6.04,0.0,0.0,17.4
01/01/07,19:00:00,0.7323,0.1272,237.758,3.0867,0.0,0.4667,4.7167
01/01/07,20:00:00,0.4123,0.0711,237.8268,1.7167,0.0,0.1167,0.0
01/01/07,21:00:00,0.4339,0.1006,239.4232,1.83,0.0,0.0,0.0
01/01/07,22:00:00,0.4437,0.1149,241.1243,1.9067,0.0,0.6,0.0
01/01/07,23:00:00,0.45,0.115,243.8275,1.94,0.0,0.0,0.0
02/01/07,00:00:00,0.4464,0.1211,242.2555,1.9633,0.0,0.5833,0.0
02/01/07,01:00:00,0.4367,0.0958,243.2713,1.8767,0.0,0.0,0.0
02/01/07,02:00:00,0.4316,0.0852,245.7543,1.8267,0.0,0.0,0.0
02/01/07,03:00:00,0.4642,0.1441,245.737,2.0233,0.0,0.5833,0.0
02/01/07,04:00:00,1.04,0.0945,243.6123,4.2867,0.0,0.0,9.9833
02/01/07,05:00:00,0.7106,0.1165,242.4397,3.0267,0.0,0.5667,4.45
02/01/07,06:00:00,0.447,0.1087,243.9255,1.9,0.0,0.0,0.0
02/01/07,07:00:00,0.4126,0.0649,240.8878,1.7467,0.0,0.0333,0.0
02/01/07,08:00:00,0.4544,0.1314,239.9482,1.9433,0.0,0.5333,0.0
02/01/07,09:00:00,0.4176,0.0787,239.8077,1.73,0.0,0.0,0.0
02/01/07,10:00:00,0.4459,0.1251,238.7752,1.89,0.0,0.5833,0.0
02/01/07,11:00:00,0.4328,0.1003,242.0498,1.81,0.0,0.0,0.0
02/01/07,12:00:00,0.426,0.085,242.0062,1.7967,0.0,0.0667,0.0
02/01/07,13:00:00,0.459,0.1423,242.4698,1.98,0.0,0.5,0.0
02/01/07,14:00:00,0.4384,0.1062,246.3837,1.8567,0.0,0.0,0.0
02/01/07,15:00:00,1.4381,0.141,242.9573,5.9033,0.0,0.6333,15.8833
02/01/07,16:00:00,1.4591,0.1037,243.0953,5.99,0.0,0.0,15.7667
02/01/07,17:00:00,2.1362,0.2619,238.1777,9.12,0.0,0.0667,8.4167
02/01/07,18:00:00,1.9721,0.2281,237.5845,8.3633,0.0,0.5,17.3
02/01/07,19:00:00,1.5183,0.1034,239.282,6.3267,0.0,0.0,17.55
02/01/07,20:00:00,2.5735,0.3703,238.4945,10.8567,0.0,0.5833,17.4167
02/01/07,21:00:00,1.3214,0.1841,240.2108,5.5633,0.0,0.0,2.6
02/01/07,22:00:00,0.5282,0.1221,242.9558,2.2733,0.0,0.45,0.0
02/01/07,23:00:00,0.7439,0.0579,244.5687,3.0833,0.0,0.1167,0.0
03/01/07,00:00:00,1.1254,0.0566,244.1618,4.6433,0.0,0.0,0.0
03/01/07,01:00:00,0.9007,0.125,243.9425,3.7467,0.0,0.5667,0.0
03/01/07,02:00:00,0.3048,0.1307,246.7222,1.3867,0.0,0.0,0.0
03/01/07,03:00:00,0.3333,0.1831,246.6697,1.58,0.0,0.5667,0.0
03/01/07,04:00:00,0.2988,0.1222,246.0552,1.32,0.0,0.0167,0.0
03/01/07,05:00:00,0.9516,0.1018,244.028,3.92,0.0,0.0,10.8833
03/01/07,06:00:00,0.3343,0.1724,245.9037,1.55,0.0,0.5667,0.0
03/01/07,07:00:00,0.3017,0.1084,242.7845,1.3633,0.0,0.0,0.0
03/01/07,08:00:00,0.3196,0.1428,241.3375,1.48,0.0,0.5667,0.0
03/01/07,09:00:00,0.6025,0.1257,240.7205,2.6933,0.0,0.0,0.0
03/01/07,10:00:00,0.8742,0.1307,241.2927,3.81,0.0,0.0,0.0
03/01/07,11:00:00,0.9764,0.1874,243.2568,4.1567,0.0,0.5667,8.45
03/01/07,12:00:00,1.3978,0.1227,242.3405,5.7133,0.0,0.0,17.9833
03/01/07,13:00:00,1.4199,0.1671,242.9582,5.8067,0.0,0.5667,18.0667
03/01/07,14:00:00,1.0904,0.1578,244.9365,4.54,0.0,0.0,12.7333
03/01/07,15:00:00,0.302,0.1368,245.9958,1.4167,0.0,0.0667,0.0
03/01/07,16:00:00,0.3677,0.2326,245.8863,1.81,0.0,0.5167,0.0
03/01/07,17:00:00,0.2851,0.1002,240.7623,1.2533,0.0,0.0,0.0
03/01/07,18:00:00,0.3612,0.2128,242.371,1.74,0.0,0.5833,0.0
03/01/07,19:00:00,0.289,0.1049,241.1508,1.2967,0.0,0.0,0.0
03/01/07,20:00:00,0.3263,0.1586,241.8855,1.5433,0.0,0.15,0.0
03/01/07,21:00:00,1.1154,0.1059,241.4052,4.7433,0.0,0.4167,0.0
03/01/07,22:00:00,0.954,0.0576,243.7,3.95,0.0,0.0,2.6667
03/01/07,23:00:00,1.6686,0.135,245.103,6.8733,0.0,0.5833,8.6333
04/01/07,00:00:00,3.3751,0.0809,239.734,14.09,8.4833,9.5333,0.0
04/01/07,01:00:00,2.8967,0.1213,238.3463,12.1033,9.0333,0.3333,0.0
04/01/07,02:00:00,2.3873,0.0998,242.024,9.82,0.0,0.2667,0.0
04/01/07,03:00:00,2.362,0.0848,241.002,9.73,0.0,0.0,0.0
04/01/07,04:00:00,2.37,0.1272,239.9612,9.81,0.0,0.6,0.0
04/01/07,05:00:00,2.3452,0.0702,240.586,9.6767,0.0,0.0,0.0
04/01/07,06:00:00,2.3587,0.1068,239.9397,9.7333,0.0,0.4,0.0
04/01/07,07:00:00,2.3262,0.09,238.733,9.6633,0.0,0.2,0.0
04/01/07,08:00:00,2.4038,0.0722,237.9638,10.04,0.0,0.0,0.0
04/01/07,09:00:00,2.6671,0.1171,237.7453,11.2233,0.0,0.6,16.6333
04/01/07,10:00:00,1.898,0.0977,240.0778,7.93,0.0,0.0,17.65
04/01/07,11:00:00,2.0063,0.1593,241.0045,8.4,0.0,0.5333,17.8
04/01/07,12:00:00,4.0666,0.2793,238.1477,17.1967,0.0,40.05,17.3667
04/01/07,13:00:00,3.5451,0.2309,239.3982,14.9433,0.0,35.0,17.55
04/01/07,14:00:00,2.0132,0.15,242.0287,8.3867,0.0,5.0167,17.9333
04/01/07,15:00:00,0.8793,0.1505,243.3053,3.7467,0.0,0.6667,7.6
04/01/07,16:00:00,3.2898,0.2177,239.994,13.78,0.0,25.8167,17.6333
04/01/07,17:00:00,2.7413,0.2537,237.6658,11.6167,0.0,4.1333,17.3
04/01/07,18:00:00,2.6055,0.1287,237.315,10.93,0.0,1.3,17.25
04/01/07,19:00:00,2.8541,0.1364,236.5855,12.05,0.0,0.1667,16.8833
04/01/07,20:00:00,1.4985,0.2019,237.4808,6.3333,0.0,0.8333,0.0
04/01/07,21:00:00,0.4788,0.0871,238.9705,2.0633,0.0,0.1667,0.0
04/01/07,22:00:00,0.4197,0.1781,241.656,1.8967,0.0,0.75,0.0
04/01/07,23:00:00,0.5351,0.1301,244.342,2.3133,0.0,0.25,0.0
05/01/07,00:00:00,1.968,0.1438,242.6805,8.1267,0.0,0.25,8.9333
05/01/07,01:00:00,2.3868,0.1204,240.3027,9.86,0.0,0.4333,0.0
05/01/07,02:00:00,2.3947,0.097,242.6057,9.8167,0.0,0.0,0.0
05/01/07,03:00:00,2.4157,0.141,242.2772,9.9667,0.0,0.6333,0.0
05/01/07,04:00:00,2.397,0.0857,243.2278,9.8067,0.0,0.0,0.0
05/01/07,05:00:00,2.4074,0.1436,241.77,9.9233,0.0,0.6,0.0
05/01/07,06:00:00,2.3678,0.0649,241.9153,9.7267,0.0,0.0,0.0
05/01/07,07:00:00,2.3515,0.112,239.5642,9.7633,0.0,0.2167,0.0
05/01/07,08:00:00,2.3169,0.0912,238.5778,9.6433,0.0,0.4,0.0
05/01/07,09:00:00,2.3642,0.096,238.2278,9.8833,0.0,0.0,0.7
05/01/07,10:00:00,2.656,0.1027,237.6387,11.17,0.0,0.6167,9.55
05/01/07,11:00:00,0.3558,0.1212,240.243,1.6533,0.0,0.0,0.0
05/01/07,12:00:00,0.3544,0.1394,241.5385,1.65,0.0,0.6167,0.0
05/01/07,13:00:00,0.3418,0.1285,242.3798,1.5467,0.0,0.0,0.0
05/01/07,14:00:00,0.3773,0.1165,246.0797,1.6567,0.0,0.15,0.0
05/01/07,15:00:00,0.4778,0.1918,244.8243,2.1933,0.0,0.4833,0.0
05/01/07,16:00:00,0.8365,0.1019,243.4917,3.6067,0.0,0.0,6.25
05/01/07,17:00:00,2.2407,0.1727,237.317,9.45,0.0,0.6,17.2667
05/01/07,18:00:00,2.3996,0.0569,234.956,10.1433,0.0,0.0,16.9167
05/01/07,19:00:00,2.0389,0.223,236.4262,8.71,0.0833,0.5833,5.5167
05/01/07,20:00:00,2.9757,0.1009,237.759,12.5433,14.6667,0.1167,8.9
05/01/07,21:00:00,2.6744,0.1102,237.3022,11.2533,8.3667,0.1,17.2667
05/01/07,22:00:00,2.3847,0.1225,239.2475,9.9867,1.6,0.5167,17.5333
05/01/07,23:00:00,1.7388,0.1024,241.5458,7.1633,0.0,0.0,17.8667
06/01/07,00:00:00,1.4931,0.1374,240.6503,6.1733,0.0,0.6167,17.7333
06/01/07,01:00:00,0.4335,0.1083,241.3438,1.9,0.0,0.0,2.1833
06/01/07,02:00:00,0.3333,0.1806,245.7958,1.5667,0.0,0.5667,0.0
06/01/07,03:00:00,0.3129,0.1449,245.0712,1.4567,0.0,0.0833,0.0
06/01/07,04:00:00,0.3036,0.1213,243.9017,1.3733,0.0,0.05,0.0
06/01/07,05:00:00,0.3353,0.1759,243.1057,1.5633,0.0,0.5667,0.0
06/01/07,06:00:00,0.2987,0.1061,242.8183,1.3367,0.0,0.0,0.0
06/01/07,07:00:00,0.337,0.167,241.5417,1.6067,0.0,0.6333,0.0
06/01/07,08:00:00,0.2954,0.1045,241.3897,1.3367,0.0,0.0,0.0
06/01/07,09:00:00,0.6231,0.1399,241.0008,2.68,0.0,0.4333,0.0
06/01/07,10:00:00,1.5256,0.1044,237.748,6.4467,0.0,0.2333,0.0
06/01/07,11:00:00,2.5922,0.0776,233.6998,11.0733,0.0,0.0,16.1833
06/01/07,12:00:00,4.0029,0.2656,231.7672,17.4967,22.15,0.6167,16.4833
06/01/07,13:00:00,1.8904,0.1033,237.4885,8.0867,0.1167,0.0,17.2833
